uuid,path,date,r,g,b
2D46AD4C-F855-4140-B4EE-3D83ED3ED6D0,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/2/2D46AD4C-F855-4140-B4EE-3D83ED3ED6D0.jpeg,2024-01-29 10:25:42.909000-10:00,69,52,43
56A68A80-20BD-45A0-9205-8B3974ECDE33,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/5/56A68A80-20BD-45A0-9205-8B3974ECDE33.jpeg,2024-01-29 20:21:42.988000-10:00,106,86,70
22FDD03E-4293-45A6-A1EF-4E70B9F3D007,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/2/22FDD03E-4293-45A6-A1EF-4E70B9F3D007.jpeg,2024-01-29 20:25:15.278000-10:00,164,136,120
0C62C81E-8DAB-460D-BB5C-A001E2BF5E60,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/0/0C62C81E-8DAB-460D-BB5C-A001E2BF5E60.jpeg,2024-01-29 22:52:55.065000-10:00,36,25,14
FDE956B8-9963-491C-858A-5A9FC19883CB,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/F/FDE956B8-9963-491C-858A-5A9FC19883CB.jpeg,2024-01-30 21:53:17.341000-10:00,138,124,110
8F6C4668-0944-4D2B-B3D2-368203D315A7,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/8/8F6C4668-0944-4D2B-B3D2-368203D315A7.jpeg,2024-02-02 12:17:22.958000-10:00,205,194,177
AEFC9248-B95A-4222-ABE1-9679C1AE0BDB,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/A/AEFC9248-B95A-4222-ABE1-9679C1AE0BDB.jpeg,2024-02-03 22:53:08.902000-10:00,79,71,64
C3B97A64-D37A-4369-9B82-02692AF3A4E6,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/C/C3B97A64-D37A-4369-9B82-02692AF3A4E6.jpeg,2024-02-03 22:53:10.628000-10:00,56,50,43
C77230C6-74D8-44BA-A3B8-099C24BF5276,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/C/C77230C6-74D8-44BA-A3B8-099C24BF5276.jpeg,2024-02-03 22:53:12.389000-10:00,51,44,38
4918D262-08FF-49C3-BF3F-359D4A272873,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/4/4918D262-08FF-49C3-BF3F-359D4A272873.jpeg,2024-02-03 22:53:13.395000-10:00,58,50,41
41BE77DD-FB88-478A-9E5C-3576CE596109,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/4/41BE77DD-FB88-478A-9E5C-3576CE596109.jpeg,2024-02-03 23:10:50.796000-10:00,57,50,34
10BAABC3-C5D5-4DE2-822B-8C2677C5A268,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/1/10BAABC3-C5D5-4DE2-822B-8C2677C5A268.jpeg,2024-02-04 00:55:26.553000-10:00,183,143,134
D4DA0DB8-5303-4112-86A5-07197D14BE1E,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/D/D4DA0DB8-5303-4112-86A5-07197D14BE1E.jpeg,2024-02-04 00:56:19.185000-10:00,204,184,169
5FBAD79D-0D8D-42A7-B013-476759E183F1,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/5/5FBAD79D-0D8D-42A7-B013-476759E183F1.jpeg,2024-02-04 00:56:25.798000-10:00,210,189,175
C701488C-28DE-4007-831F-B9C1DF5AF157,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/C/C701488C-28DE-4007-831F-B9C1DF5AF157.jpeg,2024-02-04 01:03:15.732000-10:00,187,162,138
B70CF9C2-F8AF-4568-959A-D1569132F4DE,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/B/B70CF9C2-F8AF-4568-959A-D1569132F4DE.jpeg,2024-02-04 01:04:48.340000-10:00,45,38,32
ED5F6516-4DD4-435C-B001-2BC3157B4C8A,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/E/ED5F6516-4DD4-435C-B001-2BC3157B4C8A.jpeg,2024-02-04 01:04:52.672000-10:00,39,39,37
8701AA35-6438-4AF5-9797-CAB799619323,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/8/8701AA35-6438-4AF5-9797-CAB799619323.jpeg,2024-02-04 01:04:57.117000-10:00,67,47,44
9404D5EE-D9CF-45FA-9B34-EF395861EBEC,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/9/9404D5EE-D9CF-45FA-9B34-EF395861EBEC.jpeg,2024-02-04 01:13:20.290000-10:00,41,38,34
DA42DDF2-FF13-4C2A-8E3C-F36D610525B0,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/D/DA42DDF2-FF13-4C2A-8E3C-F36D610525B0.jpeg,2024-02-04 01:13:21.919000-10:00,216,191,172
00E711CE-FEDD-4E27-8102-B37C90C6A522,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/0/00E711CE-FEDD-4E27-8102-B37C90C6A522.jpeg,2024-02-04 01:13:23.437000-10:00,54,50,45
82FB8B33-BC81-481E-B716-596CB4662621,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/8/82FB8B33-BC81-481E-B716-596CB4662621.jpeg,2024-02-04 01:13:59.285000-10:00,205,170,150
E5DD42EF-2A80-45D8-908D-6332417EF097,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/E/E5DD42EF-2A80-45D8-908D-6332417EF097.jpeg,2024-02-04 01:14:02.529000-10:00,53,49,48
E18CB586-9567-4775-8E5D-5FFF1039F4D0,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/E/E18CB586-9567-4775-8E5D-5FFF1039F4D0.jpeg,2024-02-04 01:14:06.794000-10:00,47,43,39
5DD1B73B-FC30-4FFB-8456-73B9255564BF,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/5/5DD1B73B-FC30-4FFB-8456-73B9255564BF.jpeg,2024-02-04 01:14:08.400000-10:00,58,53,48
B9F35DBE-C19C-4706-905B-691784AE32D6,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/B/B9F35DBE-C19C-4706-905B-691784AE32D6.jpeg,2024-02-04 01:14:10.143000-10:00,56,51,46
733EABEA-3EBD-40FE-9D3B-A72C7B3AAF84,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/7/733EABEA-3EBD-40FE-9D3B-A72C7B3AAF84.jpeg,2024-02-04 01:14:11.196000-10:00,55,50,44
0472BF5A-A9D0-4781-94B5-56509A0B3A40,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/0/0472BF5A-A9D0-4781-94B5-56509A0B3A40.jpeg,2024-02-04 01:15:38.716000-10:00,227,208,192
35267731-4D28-4F21-8861-55FBF2A5D561,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/3/35267731-4D28-4F21-8861-55FBF2A5D561.jpeg,2024-02-04 01:15:41.826000-10:00,188,170,153
0B423AF8-F043-4F43-B48B-1AADA66F7EAE,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/0/0B423AF8-F043-4F43-B48B-1AADA66F7EAE.jpeg,2024-02-04 02:29:53.973000-10:00,120,109,98
CDC2A718-81C0-41FF-B059-CFFEA17676D6,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/C/CDC2A718-81C0-41FF-B059-CFFEA17676D6.jpeg,2024-02-04 02:29:54.795000-10:00,117,105,93
17EFE7B0-0F46-472D-9A92-232154E800CA,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/1/17EFE7B0-0F46-472D-9A92-232154E800CA.jpeg,2024-02-04 02:29:56.780000-10:00,135,121,108
EB25C168-B67F-4EAF-930F-AFFBAB3241BB,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/E/EB25C168-B67F-4EAF-930F-AFFBAB3241BB.jpeg,2024-02-04 02:29:57.947000-10:00,120,106,95
1FC7AB91-BFF4-4AAD-849D-5CED49AF4CED,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/1/1FC7AB91-BFF4-4AAD-849D-5CED49AF4CED.jpeg,2024-02-04 02:29:59.949000-10:00,117,102,90
37536D85-B344-4ACE-8982-36AB6F5F49F0,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/3/37536D85-B344-4ACE-8982-36AB6F5F49F0.jpeg,2024-02-04 02:30:01.708000-10:00,144,128,113
AB1CC8F8-599B-4011-96FB-2D167EC97D36,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/A/AB1CC8F8-599B-4011-96FB-2D167EC97D36.jpeg,2024-02-04 02:30:02.568000-10:00,175,155,137
C2A6DC68-A3C4-452E-9459-AFFA45C1B261,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/C/C2A6DC68-A3C4-452E-9459-AFFA45C1B261.jpeg,2024-02-04 02:30:03.530000-10:00,143,127,112
B32B8FC8-9784-4FF5-9C7F-60597AF7A884,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/B/B32B8FC8-9784-4FF5-9C7F-60597AF7A884.jpeg,2024-02-04 02:30:04.426000-10:00,118,106,94
3525E6C7-7867-47F7-8398-24E29C1B892E,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/3/3525E6C7-7867-47F7-8398-24E29C1B892E.jpeg,2024-02-04 02:30:05.344000-10:00,117,104,93
25372679-B583-4B6D-908E-1D0DCE61B3C0,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/2/25372679-B583-4B6D-908E-1D0DCE61B3C0.jpeg,2024-02-04 02:30:06.257000-10:00,117,104,93
80EF254A-9A7E-4CE3-8C2C-EB00273B85B5,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/8/80EF254A-9A7E-4CE3-8C2C-EB00273B85B5.jpeg,2024-02-04 02:30:08.176000-10:00,117,104,93
A96810E7-BA20-4B09-B936-C594E4CA5281,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/A/A96810E7-BA20-4B09-B936-C594E4CA5281.jpeg,2024-02-04 02:30:08.975000-10:00,144,128,114
A52045E2-C836-45CD-A7AB-5B27FD482AA3,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/A/A52045E2-C836-45CD-A7AB-5B27FD482AA3.jpeg,2024-02-04 02:30:09.804000-10:00,144,129,115
39B90BEA-DD69-45E0-9E45-71CE2A968FB9,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/3/39B90BEA-DD69-45E0-9E45-71CE2A968FB9.jpeg,2024-02-04 02:30:10.687000-10:00,144,128,112
12015F96-E2C0-4E08-9CC0-B0DF2D02BC1D,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/1/12015F96-E2C0-4E08-9CC0-B0DF2D02BC1D.jpeg,2024-02-04 02:30:11.488000-10:00,143,126,111
7BC1B0BB-EE95-4ADF-BCB3-4B9D1A9EC89D,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/7/7BC1B0BB-EE95-4ADF-BCB3-4B9D1A9EC89D.jpeg,2024-02-04 02:30:12.480000-10:00,118,103,90
3497761C-35CA-47B3-9C99-AC5B3D647728,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/3/3497761C-35CA-47B3-9C99-AC5B3D647728.jpeg,2024-02-04 02:30:13.331000-10:00,119,104,91
FE643953-4798-4610-B83C-D5E2CF48D6CD,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/F/FE643953-4798-4610-B83C-D5E2CF48D6CD.jpeg,2024-02-04 02:30:14.090000-10:00,118,103,90
80042600-0FA4-4361-B17E-6C7E8FECF4B7,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/8/80042600-0FA4-4361-B17E-6C7E8FECF4B7.jpeg,2024-02-04 02:30:14.965000-10:00,116,103,91
8FC730EE-A796-43ED-811D-F5AB05835645,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/8/8FC730EE-A796-43ED-811D-F5AB05835645.jpeg,2024-02-04 02:30:15.788000-10:00,137,123,109
10193C97-9F8C-4E62-8EF4-2A465A48436F,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/1/10193C97-9F8C-4E62-8EF4-2A465A48436F.jpeg,2024-02-04 02:30:16.426000-10:00,116,103,92
D16AB711-C27F-411E-9B8D-4D47BFFE2717,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/D/D16AB711-C27F-411E-9B8D-4D47BFFE2717.jpeg,2024-02-04 02:34:33.017000-10:00,39,35,30
6A0AE111-0C57-4653-908E-631EF1A56159,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/6/6A0AE111-0C57-4653-908E-631EF1A56159.jpeg,2024-02-04 02:34:38.342000-10:00,58,54,45
FC23F2A9-A389-4E7F-8B77-16C7B4CDDEE9,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/F/FC23F2A9-A389-4E7F-8B77-16C7B4CDDEE9.jpeg,2024-02-07 12:09:27.435000-10:00,51,48,68
37CE22C9-5E0E-4B9A-83F9-055E2554C5D9,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/3/37CE22C9-5E0E-4B9A-83F9-055E2554C5D9.jpeg,2024-02-07 12:09:33.319000-10:00,44,47,68
93DD956B-F6D9-4EC0-833F-80BDA598215E,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/9/93DD956B-F6D9-4EC0-833F-80BDA598215E.jpeg,2024-02-08 12:55:39.176000-10:00,190,190,187
8D0E0812-78E1-4A20-B3F9-C937FAFE58FB,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/8/8D0E0812-78E1-4A20-B3F9-C937FAFE58FB.jpeg,2024-02-10 00:12:42.900000-10:00,162,140,125
C90334E5-62F6-4173-BF81-B6C6490F1D41,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/C/C90334E5-62F6-4173-BF81-B6C6490F1D41.jpeg,2024-02-10 00:12:49.076000-10:00,176,159,149
962919F0-FAAD-44C3-9DEF-190E3FAE645F,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/9/962919F0-FAAD-44C3-9DEF-190E3FAE645F.jpeg,2024-02-10 00:12:51.794000-10:00,128,120,112
C26F5ABC-55E2-4CE1-995B-0F96DDEF6ECE,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/C/C26F5ABC-55E2-4CE1-995B-0F96DDEF6ECE.jpeg,2024-02-10 00:12:54.031000-10:00,146,139,131
F9C0FCE2-D9B0-4A6C-8BBA-A6CC037C19FA,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/F/F9C0FCE2-D9B0-4A6C-8BBA-A6CC037C19FA.jpeg,2024-02-10 00:12:59.625000-10:00,143,126,114
69C8B8C5-C59B-4BF9-AE09-D31C21720E6E,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/6/69C8B8C5-C59B-4BF9-AE09-D31C21720E6E.jpeg,2024-02-10 00:35:59.226000-10:00,191,171,161
399778F5-73E0-477E-B83B-617FC649D81C,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/3/399778F5-73E0-477E-B83B-617FC649D81C.jpeg,2024-02-10 00:36:02.862000-10:00,26,24,21
E63FE313-B057-4215-8F12-E908021A6DCA,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/E/E63FE313-B057-4215-8F12-E908021A6DCA.jpeg,2024-02-10 00:36:05.954000-10:00,37,32,28
A6FC6A9B-8CB2-40CA-80B6-33FDC869DD8A,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/A/A6FC6A9B-8CB2-40CA-80B6-33FDC869DD8A.jpeg,2024-02-10 00:38:36.437000-10:00,43,35,29
415D7EC8-685E-4380-A503-3E927828683E,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/4/415D7EC8-685E-4380-A503-3E927828683E.jpeg,2024-02-10 19:33:34.436000-10:00,54,31,27
26835E9F-C245-4D40-AD6F-3A28A9BD8DD2,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/2/26835E9F-C245-4D40-AD6F-3A28A9BD8DD2.jpeg,2024-02-11 20:15:34.666000-10:00,206,191,181
33E73A1E-D5CB-4A1E-B6D6-A09508990448,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/3/33E73A1E-D5CB-4A1E-B6D6-A09508990448.jpeg,2024-02-13 13:03:01.365000-10:00,200,195,187
